name,department,manager,number,detail
Firearm injuries,Other,Other,37,"A large group of case-series studies showed that, on average, over one third of firearm injury decedents in the United States (homicides and suicides) had acutely consumed any amount of alcohol prior to their death and that over one fourth of these decedents had heavily consumed alcohol prior to their death."
Homicide      ,Other,Other,2039,"Alcohol is involved in more homicides across the United States compared to other substances, like heroin and cocaine. In fact, about 40 percent of convicted murderers had used alcohol before or during the crime."
Hypothermia,Other,Other,65,"Alcohol may make your body feel warm inside, but it causes your blood vessels to expand, resulting in more rapid heat loss from the surface of your skin. The body's natural shivering response is diminished in people who've been drinking alcohol."
MV non-traffic crashes,Other,Other,59,Alcohol impairs motor and cognitive skill and can cause non-traffic crashes.
MV traffic crashes - men,Other,Other,2722,"In 2016, 10,497 people died in alcohol-impaired driving crashes, accounting for 28% of all traffic-related deaths in the United States. Of the 1,233 traffic deaths among children ages 0 to 14 years in 2016, 214 (17%) involved an alcohol-impaired driver."
MV traffic crashes - women,Other,Other,812,"In 2016, 10,497 people died in alcohol-impaired driving crashes, accounting for 28% of all traffic-related deaths in the United States. Of the 1,233 traffic deaths among children ages 0 to 14 years in 2016, 214 (17%) involved an alcohol-impaired driver."
Occupational and machine injuries,Other,Other,84,"Drinking had a significant effect on reporting a work-related injury: Those who drank alcohol on average three or more times per week had about 3.2 injuries per 10,000 person-work-days, compared with 1.9 injuries per 10,000 person-work-days for nondrinkers, representing a 70-percent increase in risk."
Other MV crashes,Other,Other,34,"In 2016, 10,497 people died in alcohol-impaired driving crashes, accounting for 28% of all traffic-related deaths in the United States. Of the 1,233 traffic deaths among children ages 0 to 14 years in 2016, 214 (17%) involved an alcohol-impaired driver."
Non-alcohol poisoning,Other,Other,800,Alcohol impairs motor and cognitive skill and can cause poisoning from drugs and chemicals.
Suicide     ,Other,Other,2028,"Alcohol and suicide have a tragically close relationship. Individuals with suicidal thoughts often turn to alcohol, and alcohol increases suicidal thoughts."
Water transport,Other,Other,34,Alcohol impairs motor and cognitive skill and can cause water accidents.
